SCA;Kalmar Commonwealth;;;;;;;;;;;;x
SCA_ADJ;Kalmar;;;;;;;;;;;;x
SCA_democracy;Kalmar Republic;;;;;;;;;;;;x
SCA_democracy_ADJ;Kalmar;;;;;;;;;;;;x
SCA_proletarian_dictatorship;Kalmar People's Union;;;;;;;;;;;;x
SCA_proletarian_dictatorship_ADJ;Kalmar;;;;;;;;;;;;x
SCA_fascist_dictatorship;Kalmar State;;;;;;;;;;;;x
SCA_fascist_dictatorship_ADJ;Kalmar;;;;;;;;;;;;x
SCA_bourgeois_dictatorship;Kalmar State;;;;;;;;;;;;x
SCA_bourgeois_dictatorship_ADJ;Kalmar;;;;;;;;;;;;x
SCA_absolute_monarchy;Kalmar Commonwealth;;;;;;;;;;;;;x
SCA_prussian_constitutionalism;Kalmar Commonwealth;;;;;;;;;;;;;x
SCA_hms_government;Kalmar Commonwealth;;;;;;;;;;;;;x
SCA_absolute_monarchy_ADJ;Kalmar;;;;;;;;;;;;;x
SCA_prussian_constitutionalism_ADJ;Kalmar;;;;;;;;;;;;;x
SCA_hms_government_ADJ;Kalmar;;;;;;;;;;;;;x
NZL;New Iceland;;;;;;;;;;;;x
NZL_ADJ;New Iceland;;;;;;;;;;;;x
NZL_democracy;New Iceland;;;;;;;;;;;;x
NZL_democracy_ADJ;New Iceland;;;;;;;;;;;;x
NZL_proletarian_dictatorship;New Iceland;;;;;;;;;;;;x
NZL_proletarian_dictatorship_ADJ;New Iceland;;;;;;;;;;;;x
NZL_fascist_dictatorship;New Iceland;;;;;;;;;;;;x
NZL_fascist_dictatorship_ADJ;New Iceland;;;;;;;;;;;;x
NZL_bourgeois_dictatorship;New Iceland;;;;;;;;;;;;x
NZL_bourgeois_dictatorship_ADJ;New Iceland;;;;;;;;;;;;x
NZL_absolute_monarchy;New Iceland;;;;;;;;;;;;;x
NZL_prussian_constitutionalism;New Iceland;;;;;;;;;;;;;x
NZL_hms_government;New Iceland;;;;;;;;;;;;;x
NZL_absolute_monarchy_ADJ;New Iceland;;;;;;;;;;;;;x
NZL_prussian_constitutionalism_ADJ;New Iceland;;;;;;;;;;;;;x
NZL_hms_government_ADJ;New Iceland;;;;;;;;;;;;;x
X01;Russo-Manchurian Company;;;;;;;;;;;;x
X01_ADJ;Manchurian;;;;;;;;;;;;x
X01_democracy;Russo-Manchurian Republic;;;;;;;;;;;;x
X01_democracy_ADJ;Manchurian;;;;;;;;;;;;x
X01_presidential_dictatorship;Russo-Manchurian Company;;;;;;;;;;;;x
X01_presidential_dictatorship_ADJ;Manchurian;;;;;;;;;;;;x
X01_proletarian_dictatorship;Russo-Manchurian Soviet Republic;;;;;;;;;;;;x
X01_proletarian_dictatorship_ADJ;Soviet;;;;;;;;;;;;x
X01_fascist_dictatorship;Russo-Manchurian State;;;;;;;;;;;;x
X01_fascist_dictatorship_ADJ;Manchurian;;;;;;;;;;;;x
X01_absolute_monarchy;Far Eastern Governate;;;;;;;;;;;;;x
X01_prussian_constitutionalism;Far Eastern Governate;;;;;;;;;;;;;x
X01_hms_government;Far Eastern Governate;;;;;;;;;;;;;x
X01_absolute_monarchy_ADJ;Manchurian;;;;;;;;;;;;;x
X01_prussian_constitutionalism_ADJ;Manchurian;;;;;;;;;;;;;x
X01_hms_government_ADJ;Manchurian;;;;;;;;;;;;;x
PRU_democracy;Prussian Republic;;;;;;;;;;;;x
PRU_democracy_ADJ;Prussian;;;;;;;;;;;;x
PRU_presidential_dictatorship;Prussian Republic;;;;;;;;;;;;x
PRU_presidential_dictatorship_ADJ;Prussian;;;;;;;;;;;;x
USA_prussian_constitutionalism_ADJ;American;;;;;;;;;;;;;x
USA_hms_government_ADJ;American;;;;;;;;;;;;;x
USA_prussian_constitutionalism;American Kingdom;;;;;;;;;;;;;x
USA_hms_government;Dominion of America;;;;;;;;;;;;;x
sell_florida_title;Sell Florida;;;;;;;;;;;;
sell_florida_desc;Florida has become a costly colony of no benefit to us. Let us seek a willing buyer for it.;;;;;;;;;;;;
end_algerian_independence_title;End the Autonomy of Algeria;;;;;;;;;;;;
end_algerian_independence_desc;It's time to exact obedience and abolish Algerian self rule, though they may refuse our ultimatum, resulting in a descent to war as they try to break free from our dominance.;;;;;;;;;;;;
mughalistan_reforms_title;Enact the Mughalistan Reforms;;;;;;;;;;;;
mughalistan_reforms_desc;Our empire is composed of many different nationalities - it is time that our administration reflected this.;;;;;;;;;;;;